name,planet_mass,planet_radius,planet_discovery_method,discovery_date,planet_type,URL
OGLE-2007-BLG-368L_b,20 Earths,0.421 x Jupiter,Microlensing,2009,Neptune-like,https://eyes.nasa.gov/apps/exo/#/planet/OGLE-2007-BLG-368L_b
PSR_B1257+12_b,0.02 Earths,0.338 x Earth,Pulsar Timing,1994,Terrestrial,https://eyes.nasa.gov/apps/exo/#/planet/PSR_B1257+12_b
PSR_B1257+12_c,4.3 Earths,1.91 x Earth,Pulsar Timing,1992,Super Earth,https://eyes.nasa.gov/apps/exo/#/planet/PSR_B1257+12_c
TOI-700_d,1.57 Earths,1.144 x Earth,Transit,2020,Super Earth,https://eyes.nasa.gov/apps/exo/#/planet/TOI-700_d
TOI-849_b,39.09 Earths,0.307 x Jupiter,Transit,2020,Gas Giant,https://eyes.nasa.gov/apps/exo/#/planet/TOI-849_b
TRAPPIST-1_h,0.331 Earths,0.752 x Earth,Transit,2017,Terrestrial,https://eyes.nasa.gov/apps/exo/#/planet/TRAPPIST-1_h
TYC_8998-760-1_b,14 Jupiters,1.1 x Jupiter,Imaging,2020,Gas Giant,https://eyes.nasa.gov/apps/exo/#/planet/TYC_8998-760-1_b
WASP-11_b,0.79 Jupiters,1.11 x Jupiter,Transit,2008,Gas Giant,https://eyes.nasa.gov/apps/exo/#/planet/WASP-11_b
WASP-12_b,1.465 Jupiters,1.937 x Jupiter,Transit,2008,Gas Giant,https://eyes.nasa.gov/apps/exo/#/planet/WASP-12_b
WASP-17_b,0.78 Jupiters,1.87 x Jupiter,Transit,2009,Gas Giant,https://eyes.nasa.gov/apps/exo/#/planet/WASP-17_b
WASP-31_b,0.478 Jupiters,1.549 x Jupiter,Transit,2010,Gas Giant,https://eyes.nasa.gov/apps/exo/#/planet/WASP-31_b
WASP-39_b,0.28 Jupiters,1.27 x Jupiter,Transit,2011,Gas Giant,https://eyes.nasa.gov/apps/exo/#/planet/WASP-39_b
WASP-6_b,0.37 Jupiters,1.03 x Jupiter,Transit,2009,Gas Giant,https://eyes.nasa.gov/apps/exo/#/planet/WASP-6_b
WASP-96_b,0.48 Jupiters,1.2 x Jupiter,Transit,2014,Gas Giant,https://eyes.nasa.gov/apps/exo/#/planet/WASP-96_b
